EmployeeKey,EmployeeID,EmployeeName,TeamKey,PrimarySkillKey,Location,EmploymentType,HireDate,ExitDate,StandardLaborRate,UtilizationTarget,EmploymentStatus,IsActiveAsOfDate
25,EMP-0025,Jordan Gupta,1,1,"Remote, US",Contractor,2023-07-02,,110.26,0.85,Active,1
26,EMP-0026,Robin Reed,2,2,"Atlanta, GA",Employee,2023-05-13,,98.87,0.86,Active,1
27,EMP-0027,Devon Foster,2,2,"Remote, US",Employee,2025-01-04,,92.53,0.84,Active,1
28,EMP-0028,Logan Walker,2,2,"Charlotte, NC",Contractor,2022-01-21,,146.68,0.87,Active,1
29,EMP-0029,Rowan Lewis,2,2,"Remote, US",Employee,2025-05-25,,101.24,0.85,Active,1
30,EMP-0030,Drew Carter,2,2,"Remote, US",Employee,2024-01-03,,99.63,0.84,Active,1
31,EMP-0031,Morgan Reed,2,2,"Remote, US",Employee,2021-10-19,,98.56,0.88,Active,1
32,EMP-0032,Taylor Foster,2,2,"Atlanta, GA",Employee,2021-06-02,,94.54,0.83,Active,1
33,EMP-0033,Emerson Walker,2,2,"Charlotte, NC",Employee,2023-05-06,,96.98,0.85,Active,1
34,EMP-0034,Parker Lewis,2,2,"Remote, US",Employee,2022-09-16,,106.79,0.82,Active,1
35,EMP-0035,Alex Carter,2,2,"Phoenix, AZ",Employee,2025-02-23,,87.9,0.86,Active,1
36,EMP-0036,Hayden Reed,2,2,"Remote, US",Employee,2022-03-04,,89.92,0.84,Active,1
37,EMP-0037,Quinn Foster,2,2,"Remote, US",Employee,2021-12-03,,87.33,0.85,Active,1
38,EMP-0038,Cameron Foster,3,3,"Phoenix, AZ",Employee,2024-03-17,,92.8,0.83,Active,1
39,EMP-0039,Jordan Walker,3,3,"Phoenix, AZ",Employee,2024-10-13,,103.48,0.83,Active,1
40,EMP-0040,Riley Lewis,3,3,"Charlotte, NC",Employee,2021-10-01,,107.57,0.81,Active,1
41,EMP-0041,Casey Carter,3,3,"Charlotte, NC",Employee,2021-06-08,,106.67,0.82,Active,1
42,EMP-0042,Kai Reed,3,3,"Charlotte, NC",Employee,2022-11-07,,102.78,0.82,Active,1
43,EMP-0043,Robin Foster,3,3,"Charlotte, NC",Employee,2024-01-16,,89.1,0.82,Active,1
44,EMP-0044,Devon Walker,3,3,"Phoenix, AZ",Contractor,2021-08-10,,129.23,0.85,Active,1
45,EMP-0045,Logan Lewis,3,3,"Charlotte, NC",Employee,2023-01-12,,90.49,0.82,Active,1
46,EMP-0046,Rowan Carter,3,3,"Charlotte, NC",Contractor,2021-11-04,,140.61,0.84,Active,1
47,EMP-0047,Drew Reed,3,3,"Phoenix, AZ",Employee,2022-02-17,,90.92,0.82,Active,1
48,EMP-0048,Morgan Foster,3,3,"Charlotte, NC",Employee,2021-04-21,,83.85,0.8,Active,1
49,EMP-0049,Taylor Walker,3,3,"Charlotte, NC",Employee,2023-12-18,,97.67,0.82,Active,1
50,EMP-0050,Emerson Lewis,3,3,"Phoenix, AZ",Employee,2023-05-18,,107.11,0.81,Active,1
51,EMP-0051,Parker Carter,3,3,"Charlotte, NC",Employee,2024-05-06,,90.4,0.82,Active,1
52,EMP-0052,Alex Reed,3,3,"Atlanta, GA",Employee,2023-04-05,,104.02,0.81,Active,1
53,EMP-0053,Hayden Foster,3,3,"Phoenix, AZ",Employee,2023-02-19,,98.28,0.82,Active,1
54,EMP-0054,Quinn Walker,3,3,"Atlanta, GA",Employee,2023-01-09,,100.7,0.81,Active,1
55,EMP-0055,Avery Lewis,3,3,"Remote, US",Employee,2024-06-16,,109.9,0.81,Active,1
56,EMP-0056,Jordan Diaz,4,4,"Phoenix, AZ",Employee,2022-03-15,,86.29,0.81,Active,1
57,EMP-0057,Riley Shaw,4,4,"Phoenix, AZ",Employee,2024-04-11,,88.46,0.8,Active,1
58,EMP-0058,Casey Hayes,4,4,"Atlanta, GA",Employee,2021-08-11,,81.7,0.8,Active,1
59,EMP-0059,Kai Bennett,4,4,"Phoenix, AZ",Employee,2023-09-04,,76.55,0.83,Active,1
60,EMP-0060,Robin Nguyen,4,4,"Phoenix, AZ",Employee,2023-08-04,,90.44,0.78,Active,1
61,EMP-0061,Devon Diaz,4,4,"Charlotte, NC",Employee,2021-08-20,,86.88,0.79,Active,1
62,EMP-0062,Logan Shaw,4,4,"Charlotte, NC",Employee,2024-01-25,,80.19,0.78,Active,1
63,EMP-0063,Rowan Hayes,4,4,"Phoenix, AZ",Contractor,2021-06-10,,124.93,0.83,Active,1
64,EMP-0064,Drew Bennett,4,4,"Atlanta, GA",Employee,2025-05-25,,79.55,0.79,Active,1
65,EMP-0065,Morgan Nguyen,4,4,"Phoenix, AZ",Employee,2021-04-13,,75.4,0.79,Active,1
66,EMP-0066,Taylor Diaz,4,4,"Remote, US",Employee,2024-02-18,,81.74,0.81,Active,1
67,EMP-0067,Emerson Shaw,4,4,"Atlanta, GA",Employee,2024-11-16,,73.48,0.81,Active,1
68,EMP-0068,Parker Hayes,4,4,"Atlanta, GA",Employee,2022-06-23,,94.46,0.81,Active,1
69,EMP-0069,Alex Bennett,4,4,"Charlotte, NC",Employee,2024-08-02,,73.83,0.82,Active,1
70,EMP-0070,Hayden Nguyen,4,4,"Phoenix, AZ",Employee,2024-01-08,,86.43,0.78,Active,1
71,EMP-0071,Quinn Diaz,4,4,"Phoenix, AZ",Employee,2024-04-09,,96.45,0.81,Active,1
72,EMP-0072,Avery Shaw,4,4,"Charlotte, NC",Employee,2021-10-21,,81.19,0.78,Active,1
73,EMP-0073,Jamie Hayes,4,4,"Phoenix, AZ",Employee,2024-06-25,,80.87,0.82,Active,1
74,EMP-0074,Reese Bennett,4,4,"Charlotte, NC",Employee,2021-06-18,,93.49,0.79,Active,1
75,EMP-0075,Cameron Nguyen,4,4,"Charlotte, NC",Contractor,2021-03-14,,119.05,0.8,Active,1
76,EMP-0076,Jordan Diaz,4,4,"Phoenix, AZ",Employee,2022-06-06,,83.63,0.8,Active,1
77,EMP-0077,Riley Shaw,4,4,"Phoenix, AZ",Employee,2023-02-02,,93.2,0.78,Active,1
78,EMP-0078,Devon Foster,5,5,"Remote, US",Employee,2022-06-05,,78.1,0.87,Active,1
79,EMP-0079,Logan Walker,5,5,"Charlotte, NC",Employee,2023-05-05,,76.12,0.84,Active,1
80,EMP-0080,Rowan Lewis,5,5,"Phoenix, AZ",Employee,2021-05-16,2024-08-16,81.07,0.85,Inactive,0
81,EMP-0081,Drew Carter,5,5,"Charlotte, NC",Employee,2021-08-08,,86.53,0.85,Active,1
82,EMP-0082,Morgan Reed,5,5,"Charlotte, NC",Contractor,2024-06-12,,93.9,0.85,Active,1
83,EMP-0083,Taylor Foster,5,5,"Phoenix, AZ",Employee,2025-03-08,,76.57,0.86,Active,1
84,EMP-0084,Emerson Walker,5,5,"Charlotte, NC",Employee,2022-12-15,,88.59,0.85,Active,1
85,EMP-0085,Parker Lewis,5,5,"Charlotte, NC",Employee,2022-04-04,,74.94,0.85,Active,1
86,EMP-0086,Alex Carter,5,5,"Phoenix, AZ",Employee,2022-07-10,,88.36,0.86,Active,1
87,EMP-0087,Hayden Reed,5,5,"Charlotte, NC",Employee,2023-03-24,,77.43,0.84,Active,1
88,EMP-0088,Quinn Foster,5,5,"Phoenix, AZ",Employee,2023-12-16,,82.89,0.85,Active,1
89,EMP-0089,Avery Walker,5,5,"Atlanta, GA",Contractor,2022-04-18,,95.64,0.86,Active,1
90,EMP-0090,Jamie Lewis,5,5,"Charlotte, NC",Employee,2024-08-23,,80.31,0.87,Active,1
91,EMP-0091,Reese Carter,5,5,"Atlanta, GA",Contractor,2023-03-05,,109.38,0.87,Active,1
92,EMP-0092,Cameron Reed,5,5,"Atlanta, GA",Employee,2023-02-09,,69.01,0.85,Active,1
93,EMP-0093,Jordan Foster,5,5,"Atlanta, GA",Employee,2021-05-20,,78.0,0.86,Active,1
94,EMP-0094,Robin Carter,6,6,"Remote, US",Contractor,2021-03-10,,131.4,0.89,Active,1
95,EMP-0095,Devon Reed,6,6,"Charlotte, NC",Employee,2023-07-05,2025-02-07,103.92,0.86,Inactive,0
96,EMP-0096,Logan Foster,6,6,"Atlanta, GA",Employee,2023-12-17,,87.07,0.82,Active,1
97,EMP-0097,Rowan Walker,6,6,"Remote, US",Employee,2023-05-17,,110.89,0.85,Active,1
98,EMP-0098,Drew Lewis,6,6,"Charlotte, NC",Employee,2021-12-08,,87.11,0.84,Active,1
99,EMP-0099,Morgan Carter,6,6,"Atlanta, GA",Employee,2021-08-19,,89.99,0.84,Active,1
100,EMP-0100,Taylor Reed,6,6,"Atlanta, GA",Employee,2021-03-08,,102.3,0.87,Active,1
101,EMP-0101,Emerson Foster,6,6,"Remote, US",Employee,2023-11-22,,101.86,0.86,Active,1
102,EMP-0102,Parker Walker,6,6,"Remote, US",Employee,2025-03-20,,105.14,0.86,Active,1
103,EMP-0103,Alex Lewis,6,6,"Remote, US",Employee,2023-02-14,,93.31,0.84,Active,1
104,EMP-0104,Hayden Carter,6,6,"Remote, US",Contractor,2023-09-10,,147.67,0.86,Active,1
105,EMP-0105,Quinn Reed,6,6,"Remote, US",Employee,2022-07-22,,89.49,0.84,Active,1
106,EMP-0106,Cameron Reed,7,7,"Remote, US",Employee,2021-04-05,,117.4,0.85,Active,1
107,EMP-0107,Jordan Foster,7,7,"Charlotte, NC",Contractor,2024-06-01,,156.71,0.88,Active,1
108,EMP-0108,Riley Walker,7,7,"Remote, US",Employee,2024-02-18,,98.87,0.84,Active,1
109,EMP-0109,Casey Lewis,7,7,"Atlanta, GA",Employee,2022-11-20,,112.48,0.86,Active,1
110,EMP-0110,Kai Carter,7,7,"Remote, US",Contractor,2023-11-21,,172.93,0.86,Active,1
111,EMP-0111,Robin Reed,7,7,"Remote, US",Employee,2023-05-04,,118.68,0.84,Active,1
112,EMP-0112,Devon Foster,7,7,"Remote, US",Employee,2025-06-25,,121.01,0.84,Active,1
113,EMP-0113,Logan Walker,7,7,"Remote, US",Employee,2024-08-01,,95.28,0.86,Active,1
114,EMP-0114,Taylor Carter,8,8,"Charlotte, NC",Employee,2024-10-20,,86.01,0.73,Active,1
115,EMP-0115,Emerson Reed,8,8,"Atlanta, GA",Employee,2025-02-03,,102.91,0.75,Active,1
116,EMP-0116,Parker Foster,8,8,"Remote, US",Employee,2022-03-19,,79.09,0.76,Active,1
117,EMP-0117,Alex Walker,8,8,"Atlanta, GA",Contractor,2021-12-25,2024-11-22,131.44,0.75,Inactive,0
118,EMP-0118,Hayden Lewis,8,8,"Atlanta, GA",Employee,2023-08-02,,79.26,0.77,Active,1
119,EMP-0119,Quinn Carter,8,8,"Atlanta, GA",Employee,2023-12-24,,84.17,0.75,Active,1
120,EMP-0120,Avery Reed,8,8,"Remote, US",Contractor,2022-12-18,,109.84,0.75,Active,1
